Time (ms),Iteration 1,Iteration 2,AVG
32.425,0.01177273,0.012906505,0.012339617
32.4375,0.012162465,0.013028901,0.012595683
32.45,0.011917673,0.012492613,0.012205143
32.4625,0.011661607,0.013053058,0.012357333
32.475,0.01180494,0.012489392,0.012147166
32.4875,0.011275094,0.012205948,0.011740521
32.5,0.011089889,0.011168802,0.011129346
32.5125,0.011717974,0.010882138,0.011300056
32.525,0.012147971,0.01095622,0.011552095
32.5375,0.012120593,0.011428089,0.011774341
32.55,0.011938609,0.012366996,0.012152802
32.5625,0.012358943,0.013146466,0.012752704
32.575,0.012101267,0.013054668,0.012577968
32.5875,0.01177112,0.013706911,0.012739015
32.6,0.011376554,0.014082151,0.012729353
32.6125,0.012321902,0.013935598,0.01312875
32.625,0.013009575,0.013410583,0.013210079
32.6375,0.013143245,0.012420141,0.012781693
32.65,0.01329785,0.011851644,0.012574747
32.6625,0.0130595,0.011553706,0.012306603
32.675,0.012421752,0.011631008,0.01202638
32.6875,0.011508612,0.012244599,0.011876606
32.7,0.011096331,0.01278733,0.01194183
32.7125,0.011521496,0.012387932,0.011954714
32.725,0.011990144,0.012101267,0.012045706
32.7375,0.012513549,0.011515054,0.012014302
32.75,0.012565084,0.011321797,0.011943441
32.7625,0.01302568,0.011105994,0.012065837
32.775,0.013254367,0.011542432,0.0123984
32.7875,0.012629503,0.01153599,0.012082747
32.8,0.012779277,0.011803329,0.012291303
32.8125,0.011767899,0.011188128,0.011478013
32.825,0.011653555,0.010138098,0.010895827
32.8375,0.011374943,0.00990619,0.010640566
32.85,0.011212285,0.011458688,0.011335486
32.8625,0.011426478,0.011540822,0.01148365
32.875,0.011780783,0.011985313,0.011883048
32.8875,0.01187258,0.012181791,0.012027185
32.9,0.012291303,0.013038564,0.012664933
32.9125,0.012603735,0.012737405,0.01267057
32.925,0.012842086,0.012486171,0.012664128
32.9375,0.012508717,0.012151192,0.012329955
32.95,0.012689091,0.012275199,0.012482145
32.9625,0.012592462,0.012288082,0.012440272
32.975,0.012466845,0.012268757,0.012367801
32.9875,0.012919388,0.012395984,0.012657686
33,0.013692417,0.012629503,0.01316096
33.0125,0.01353459,0.01309332,0.013313955
33.025,0.013244704,0.013114256,0.01317948
33.0375,0.012205948,0.013019238,0.012612593
33.05,0.011859696,0.013012796,0.012436246
33.0625,0.011896737,0.013706911,0.012801824
33.075,0.012420141,0.013607061,0.013013601
33.0875,0.013078826,0.012949988,0.013014407
33.1,0.013446014,0.013154518,0.013300266
33.1125,0.013164181,0.013341333,0.013252757
33.125,0.013193169,0.013471781,0.013332475
33.1375,0.013547474,0.013613503,0.013580488
33.15,0.013455677,0.013700469,0.013578073
33.1625,0.013320397,0.014119192,0.013719795
33.175,0.012920999,0.013268862,0.01309493
33.1875,0.01279055,0.013202832,0.012996691
33.2,0.013045006,0.012871074,0.01295804
33.2125,0.013218937,0.013388037,0.013303487
33.225,0.012848528,0.012896842,0.012872685
33.2375,0.013136803,0.013629608,0.013383205
33.25,0.012726131,0.0135362,0.013131166
33.2625,0.01261984,0.013065942,0.012842891
33.275,0.01221078,0.013056279,0.012633529
33.2875,0.012457182,0.012835644,0.012646413
33.3,0.012845307,0.012956429,0.012900868
33.3125,0.01218018,0.012421752,0.012300966
33.325,0.012011081,0.013035343,0.012523212
33.3375,0.011914452,0.012990249,0.012452351
33.35,0.012537706,0.013209274,0.01287349
33.3625,0.012887179,0.012342838,0.012615009
33.375,0.013101372,0.011690596,0.012395984
33.3875,0.01299347,0.01166966,0.012331565
33.4,0.01248295,0.012061005,0.012271978
33.4125,0.012444298,0.011695428,0.012069863
33.425,0.011888685,0.011864527,0.011876606
33.4375,0.012125424,0.011668049,0.011896737
